year,department,total_grants_every_year_department,total_grants_every_year,percentage
2002/2003,AGRICULTURE AND AGRI-FOOD,814602098,42934821625,1.90%
2002/2003,CANADA CUSTOMS AND REVENUE AGENCY,239589411,42934821625,0.56%
2002/2003,CANADIAN HERITAGE,569103162,42934821625,1.33%
2002/2003,CITIZENSHIP AND IMMIGRATION,290909540,42934821625,0.68%
2002/2003,ENVIRONMENT,52439898,42934821625,0.12%
2002/2003,FINANCE,27996472987,42934821625,65.21%
2002/2003,FISHERIES AND OCEANS,103967735,42934821625,0.24%
2002/2003,FOREIGN AFFAIRS AND INTERNATIONAL TRADE,2002340256,42934821625,4.66%
2002/2003,GOVERNOR GENERAL,219746,42934821625,0.00%
2002/2003,HEALTH,1514548568,42934821625,3.53%
2002/2003,HUMAN RESOURCES DEVELOPMENT,1522592426,42934821625,3.55%
2002/2003,INDIAN AFFAIRS AND NORTHERN DEVELOPMENT,4572442327,42934821625,10.65%
2002/2003,INDUSTRY,2220857082,42934821625,5.17%
2002/2003,JUSTICE,380801698,42934821625,0.89%
2002/2003,NATIONAL DEFENCE,103637922,42934821625,0.24%
2002/2003,NATURAL RESOURCES,144624697,42934821625,0.34%
2002/2003,PARLIAMENT,725755,42934821625,0.00%
2002/2003,PRIVY COUNCIL,3547868,42934821625,0.01%
2002/2003,PUBLIC WORKS AND GOVERNMENT SERVICES,3501363,42934821625,0.01%
2002/2003,SOLICITOR GENERAL,45084985,42934821625,0.11%
2002/2003,TRANSPORT,314820961,42934821625,0.73%
2002/2003,TREASURY BOARD,17096678,42934821625,0.04%
2002/2003,VETERANS AFFAIRS,20894462,42934821625,0.05%
2003/2004,AGRICULTURE AND AGRI-FOOD,953372055,51095507575,1.87%
2003/2004,ATLANTIC CANADA OPPORTUNITIES AGENCY,303736747,51095507575,0.59%
2003/2004,CANADA CUSTOMS AND REVENUE AGENCY,142770534,51095507575,0.28%
2003/2004,CANADIAN HERITAGE,557950999,51095507575,1.09%
2003/2004,CITIZENSHIP AND IMMIGRATION,332691732,51095507575,0.65%
2003/2004,ENVIRONMENT,309422887,51095507575,0.61%
2003/2004,FINANCE,32358097264,51095507575,63.33%
2003/2004,FISHERIES AND OCEANS,74311344,51095507575,0.15%
2003/2004,FOREIGN AFFAIRS AND INTERNATIONAL TRADE,2252267402,51095507575,4.41%
2003/2004,GOVERNOR GENERAL,224208,51095507575,0.00%
2003/2004,HEALTH,2851481557,51095507575,5.58%
2003/2004,HUMAN RESOURCES DEVELOPMENT,1584590161,51095507575,3.10%
2003/2004,INDIAN AFFAIRS AND NORTHERN DEVELOPMENT,4734717081,51095507575,9.27%
2003/2004,INDUSTRY,2827892861,51095507575,5.53%
2003/2004,JUSTICE,379229686,51095507575,0.74%
2003/2004,NATIONAL DEFENCE,217071968,51095507575,0.42%
2003/2004,NATURAL RESOURCES,467884372,51095507575,0.92%
2003/2004,PARLIAMENT,865841,51095507575,0.00%
2003/2004,PRIVY COUNCIL,32433833,51095507575,0.06%
2003/2004,PUBLIC WORKS AND GOVERNMENT SERVICES,-1388341,51095507575,0.00%
2003/2004,SOLICITOR GENERAL,65122764,51095507575,0.13%
2003/2004,TRANSPORT,360137884,51095507575,0.70%
2003/2004,TREASURY BOARD,16174929,51095507575,0.03%
2003/2004,VETERANS AFFAIRS,21962986,51095507575,0.04%
2003/2004,WESTERN ECONOMIC DIVERSIFICATION,252484821,51095507575,0.49%
2004/2005,AGRICULTURE AND AGRI-FOOD,824439824,55815229134,1.48%
2004/2005,ATLANTIC CANADA OPPORTUNITIES AGENCY,315205559,55815229134,0.56%
2004/2005,CANADA CUSTOMS AND REVENUE AGENCY,154351176,55815229134,0.28%
2004/2005,CANADIAN HERITAGE,884127452,55815229134,1.58%
2004/2005,CITIZENSHIP AND IMMIGRATION,342609923,55815229134,0.61%
2004/2005,ECONOMIC DEVELOPMENT AGENCY OF CANADA FOR THE REGIONS OF QUEBEC,246521970,55815229134,0.44%
2004/2005,ENVIRONMENT,150783716,55815229134,0.27%
2004/2005,FINANCE,37746531203,55815229134,67.63%
2004/2005,FISHERIES AND OCEANS,87486012,55815229134,0.16%
2004/2005,FOREIGN AFFAIRS AND INTERNATIONAL TRADE (Foreign Affairs),1509452511,55815229134,2.70%
2004/2005,FOREIGN AFFAIRS AND INTERNATIONAL TRADE (International Trade),50708059,55815229134,0.09%
2004/2005,GOVERNOR GENERAL,230680,55815229134,0.00%
2004/2005,HEALTH,2084268017,55815229134,3.73%
2004/2005,HUMAN RESOURCES AND SKILLS DEVELOPMENT,1276801200,55815229134,2.29%
2004/2005,HUMAN RESOURCES DEVELOPMENT (Social Development),388402520,55815229134,0.70%
2004/2005,INDIAN AFFAIRS AND NORTHERN DEVELOPMENT,4873624761,55815229134,8.73%
2004/2005,INDUSTRY,2144343690,55815229134,3.84%
2004/2005,JUSTICE,361618312,55815229134,0.65%
2004/2005,NATIONAL DEFENCE,139303626,55815229134,0.25%
2004/2005,NATURAL RESOURCES,636484650,55815229134,1.14%
2004/2005,OFFICE OF INFRASTRUCTURE OF CANADA,199351775,55815229134,0.36%
2004/2005,PARLIAMENT,1426684,55815229134,0.00%
2004/2005,PRIVY COUNCIL,39832803,55815229134,0.07%
2004/2005,PUBLIC WORKS AND GOVERNMENT SERVICES,444676325,55815229134,0.80%
2004/2005,SOLICITOR GENERAL (Public Safety and Emergency Preparedness),205708263,55815229134,0.37%
2004/2005,TRANSPORT,416543740,55815229134,0.75%
2004/2005,TREASURY BOARD,16504501,55815229134,0.03%
2004/2005,VETERANS AFFAIRS,21991144,55815229134,0.04%
2004/2005,WESTERN ECONOMIC DIVERSIFICATION,251899038,55815229134,0.45%
2005/2006,AGRICULTURE AND AGRI-FOOD,818690789,65325487362,1.25%
2005/2006,ATLANTIC CANADA OPPORTUNITIES AGENCY,277862470,65325487362,0.43%
2005/2006,CANADA REVENUE AGENCY,165178968,65325487362,0.25%
2005/2006,CANADIAN HERITAGE,712178410,65325487362,1.09%
2005/2006,CITIZENSHIP AND IMMIGRATION,380957673,65325487362,0.58%
2005/2006,ECONOMIC DEVELOPMENT AGENCY OF CANADA FOR THE REGIONS OF QUEBEC,244360411,65325487362,0.37%
2005/2006,ENVIRONMENT,200875126,65325487362,0.31%
2005/2006,FINANCE,44160692281,65325487362,67.60%
2005/2006,FISHERIES AND OCEANS,73878048,65325487362,0.11%
2005/2006,FOREIGN AFFAIRS AND INTERNATIONAL TRADE,2936728683,65325487362,4.50%
2005/2006,GOVERNOR GENERAL,234890,65325487362,0.00%
2005/2006,HEALTH,2072326669,65325487362,3.17%
2005/2006,HUMAN RESOURCES AND SOCIAL DEVELOPMENT,1806789904,65325487362,2.77%
2005/2006,INDIAN AFFAIRS AND NORTHERN DEVELOPMENT,4939422087,65325487362,7.56%
2005/2006,INDUSTRY,2454973659,65325487362,3.76%
2005/2006,JUSTICE,348994095.8,65325487362,0.53%
2005/2006,NATIONAL DEFENCE,177963477,65325487362,0.27%
2005/2006,NATURAL RESOURCES,972551246,65325487362,1.49%
2005/2006,PARLIAMENT,693619,65325487362,0.00%
2005/2006,PRIVY COUNCIL,53141151,65325487362,0.08%
2005/2006,PUBLIC SAFETY AND EMERGENCY PREPAREDNESS,225933229,65325487362,0.35%
2005/2006,PUBLIC WORKS AND GOVERNMENT SERVICES,109138410,65325487362,0.17%
2005/2006,"TRANSPORT (Transport, Infrastructure and Communities)",1924685809,65325487362,2.95%
2005/2006,TREASURY BOARD,8442438,65325487362,0.01%
2005/2006,VETERANS AFFAIRS,21294486,65325487362,0.03%
2005/2006,WESTERN ECONOMIC DIVERSIFICATION,237499334,65325487362,0.36%
2006/2007,AGRICULTURE AND AGRI-FOOD,1084191709,62557958382,1.73%
2006/2007,ATLANTIC CANADA OPPORTUNITIES AGENCY,251133748,62557958382,0.40%
2006/2007,CANADA REVENUE AGENCY,439944,62557958382,0.00%
2006/2007,CANADIAN HERITAGE,1019686594,62557958382,1.63%
2006/2007,CITIZENSHIP AND IMMIGRATION,484567313,62557958382,0.77%
2006/2007,ECONOMIC DEVELOPMENT AGENCY OF CANADA FOR THE REGIONS OF QUEBEC,268392119,62557958382,0.43%
